,hotfix,docs,feature,arq,devops,analytics,us,easy,medium,hard,eps,mds
sprint 0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,15.0
sprint 1,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,25.0
sprint 2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,25.0
sprint 3,0.0,70.0,0.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,90.0,60.0
sprint 4,0.0,35.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,70.0,45.0
sprint 5,0.0,0.0,0.0,0.0,16.67,0.0,66.67,16.67,33.33,0.0,33.33,66.67
sprint 6,0.0,16.67,25.0,0.0,16.67,0.0,41.67,8.33,66.67,0.0,33.33,41.67
sprint 7,33.33,11.11,0.0,0.0,0.0,0.0,55.56,44.44,55.56,0.0,11.11,88.89
sprint 8,0.0,0.0,0.0,0.0,0.0,20.0,80.0,0.0,80.0,20.0,20.0,80.0
sprint 10,0.0,16.67,0.0,0.0,0.0,0.0,83.33,33.33,66.67,0.0,16.67,83.33
sprint 11,0.0,0.0,0.0,0.0,0.0,0.0,83.33,0.0,50.0,50.0,16.67,66.67
sprint 12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0
sprint 13,0.0,6.25,0.0,0.0,12.5,75.0,0.0,0.0,81.25,18.75,93.75,62.5
sprint 14,0.0,23.08,53.85,0.0,0.0,15.38,0.0,15.38,15.38,0.0,7.69,30.77
sprint 15,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
